,0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975,1,n,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,0
240,0,0,0,0.953731894,1.015455065,1.058135723,1.090328562,1.11599903,1.137277448,1.15542776,1.171255482,1.185302521,1.197949275,1.209472139,1.220077776,1.229924529,1.239136307,1.247811906,1.256031432,1.263860836,1.271355201,1.278561144,1.28551862,1.29226229,1.298822559,1.305226379,1.311497842,1.317658616,1.323728207,1.329724038,1.335661281,1.34155235,1.347405837,1.353224557,1.359002108,1.364716902,1.370322046,1.375728662,1.380780339,1.385220565,1.423093702,n,0
320,0,0,0,0.671039126,0.904808918,0.961846368,1.003870022,1.036759282,1.063598287,1.086181068,1.105632584,1.122699633,1.137900649,1.151608737,1.164100483,1.175586083,1.186228682,1.196157234,1.205475293,1.214267181,1.222602398,1.230538849,1.238125213,1.245402734,1.252406546,1.259166682,1.265708795,1.272054681,1.27822258,1.284227303,1.290080136,1.29578852,1.301355414,1.306778297,1.312047668,1.317144927,1.322039541,1.32668552,1.331017644,1.334948764,1.362033945,n,0
