,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,n,0
0,0,0,0,1.109260962,1.129726302,1.147366459,1.162504908,1.176351832,1.188350566,1.19947077,1.210033245,1.219515908,1.228562024,1.237530105,1.246036311,1.253948856,1.262055602,1.269335887,1.276497017,1.284160676,1.291381922,1.298848461,1.305831952,1.313305689,1.320415582,1.327926724,1.33572649,1.343153267,1.351986944,1.361260198,0,0,0,n,0
160,0,0,0,1.109260962,1.129726302,1.147366459,1.162504908,1.176351832,1.188350566,1.19947077,1.210033245,1.219515908,1.228562024,1.237530105,1.246036311,1.253948856,1.262055602,1.269335887,1.276497017,1.284160676,1.291381922,1.298848461,1.305831952,1.313305689,1.320415582,1.327926724,1.33572649,1.343153267,1.351986944,1.361260198,0,0,0,n,0
240,0,0,0,1.034729459,1.055872209,1.07405112,1.089690904,1.103203971,1.116391571,1.127695294,1.138932626,1.149227704,1.158024135,1.16793149,1.176532995,1.185060715,1.193352718,1.201201447,1.209049486,1.216883008,1.224746165,1.232389295,1.239917672,1.247454172,1.254713397,1.262665492,1.270925545,1.279133429,1.28708237,1.30882294,0,0,0,n,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,0
