,0,0.2,0.5,0.8,1,n,0
10,18.9632820311,20.9448832569,24.9672638986,30.2362931592,32.9398248962,n,0
20,21.9816591018,23.9632603276,29.0355112547,33.1233640992,37.2049229309,n,0
30,23.950165887,27.3753387553,32.8412910395,37.9134696216,42.2572789897,n,0
