,0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975,1,n,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,0
240,0,0,0,0,0,1.03391476,1.09401703,1.129173808,1.154350719,1.174136433,1.190552644,1.204670084,1.217124666,1.228260596,1.23825182,1.247535347,1.25623723,1.264444995,1.272150321,1.279536443,1.286651308,1.293536157,1.300227044,1.306756006,1.313152007,1.319441688,1.325649999,1.331800722,1.337916912,1.344021237,1.35013618,1.356283985,1.362486126,1.368761767,1.375124103,1.381572123,1.388072251,1.394517463,1.400637964,1.405824981,1.425444679,n,0
320,0,0,0,0,0,0,0.962792497,1.044492403,1.086041868,1.114471397,1.136313651,1.154192588,1.169156607,1.181227234,1.19229569,1.202547344,1.212114646,1.221102971,1.229597538,1.237668292,1.24537342,1.252761932,1.259875582,1.266750317,1.273417366,1.279904068,1.286234467,1.292429726,1.298508335,1.304486112,1.310375914,1.316186956,1.321923527,1.327582753,1.333150836,1.338596838,1.343862619,1.348847229,1.353385031,1.357222987,1.385061058,n,0
