;0;0.2;0.5;0.8;1;n;0
10;22.5471698113;24.9056603774;26.7924528302;30.3773584906;30.3773584906;n;0
20;19.6698113208;21.4150943396;24.6698113208;28.0188679245;29.3396226415;n;0
30;17.5;19.1509433962;21.9339622642;24.9056603774;26.7452830189;n;0
