,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,n,0
0,0,1.100075078,1.12411944,1.143724248,1.160121175,1.174626615,1.187498856,1.199053657,1.209969643,1.220579725,1.229925954,1.238765724,1.246692725,1.255464589,1.263105577,1.270953738,1.27832322,1.285794917,1.293266576,1.300270321,1.30748983,1.314268733,1.32140292,1.328270547,1.335885901,1.342939877,1.350362755,1.357723875,1.366230438,1.374575121,1.384157954,1.395204472,0,n,0
160,0,1.100075078,1.12411944,1.143724248,1.160121175,1.174626615,1.187498856,1.199053657,1.209969643,1.220579725,1.229925954,1.238765724,1.246692725,1.255464589,1.263105577,1.270953738,1.27832322,1.285794917,1.293266576,1.300270321,1.30748983,1.314268733,1.32140292,1.328270547,1.335885901,1.342939877,1.350362755,1.357723875,1.366230438,1.374575121,1.384157954,1.395204472,0,n,0
240,0,0,0.973899775,1.047346372,1.068650687,1.086145307,1.10173577,1.115931748,1.128372468,1.13979324,1.150908079,1.16145552,1.171122502,1.180220011,1.188941274,1.197230939,1.205516254,1.213800999,1.221645142,1.229609148,1.237338023,1.244958962,1.251763299,1.260168556,1.267561826,1.275686762,1.283310592,1.291376994,1.300179845,1.311590098,0,0,0,n,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,0
