,0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975,1,n,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,0
240,0,0,0,0,0.961183387,1.01223133,1.050140954,1.079999573,1.104495586,1.125202852,1.143113685,1.158889909,1.172992812,1.185755533,1.197425811,1.208192463,1.218202465,1.22757233,1.236395914,1.244749912,1.252697799,1.260292713,1.267579594,1.27459679,1.28137727,1.287949534,1.294338289,1.300564921,1.306647795,1.31260236,1.318441065,1.324173016,1.329803322,1.335331985,1.340752194,1.346047768,1.35118951,1.356130269,1.360798858,1.36509396,1.405297118,n,0
320,0,0,0,0,0,0.890768225,0.942795607,0.982575136,1.014620727,1.041285503,1.064028396,1.083807879,1.101283049,1.116924154,1.131077057,1.144002692,1.15590222,1.166933622,1.177222973,1.186872297,1.19596516,1.204570736,1.212746796,1.220541948,1.22799732,1.235147842,1.242023208,1.248648602,1.25504522,1.261230625,1.267218954,1.273020975,1.278644011,1.284091708,1.289363656,1.294454842,1.299354969,1.304047657,1.308509668,1.312710341,1.343260658,n,0
