,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,n,0
21.53,0.803420875,0.806482604,0.809544332,0.812606061,0.815667789,0.818729517,0.821791246,0.824852974,0.827914703,0.830976431,0.834038159,0.837099888,0.839717172,0.842013468,0.844309764,0.846606061,0.848902357,0.851198653,0.853494949,0.855791246,0.858087542,0.860383838,0.862680135,0.864976431,0.867272727,0.869569024,0.87186532,0.874161616,0.876457912,0.878754209,0.881050505,0.883142536,0.884534231,0.885925926,0.887317621,0.888709315,0.89010101,0.891492705,0.8928844,0.894276094,0.895667789,0.897059484,0.898451178,0.899842873,0.901234568,0.902626263,0.90415311,0.905735247,0.907317384,0.908899522,0.910481659,0.912063796,0.913645933,0.91522807,0.916810207,0.918392344,0.919974482,0.921556619,0.923138756,0.924720893,0.92630303,0.92782684,0.929258297,0.930689755,0.932121212,0.93355267,0.934984127,0.936415584,0.937847042,n,0
32.29,0.743959596,0.747717172,0.751474747,0.755232323,0.758989899,0.762747475,0.766109091,0.768113131,0.770117172,0.772121212,0.774125253,0.776129293,0.778133333,0.780137374,0.782141414,0.784145455,0.786149495,0.788153535,0.790157576,0.792161616,0.794165657,0.796169697,0.798173737,0.800177778,0.802181818,0.804185859,0.806196704,0.80830622,0.810415736,0.812525253,0.814634769,0.816744285,0.818853801,0.820963317,0.823072834,0.82518235,0.827291866,0.829401382,0.831510898,0.833620415,0.835729931,0.837839447,0.839515152,0.841039965,0.842564778,0.844089592,0.845614405,0.847139218,0.848664032,0.850188845,0.851713658,0.853238472,0.854763285,0.856288098,0.857812912,0.859337725,0.860862538,0.862387352,0.863912165,0.865436978,0.866943723,0.86837518,0.869806638,0.871238095,0.872669553,0.87410101,0.875532468,0.876963925,0.878395382,n,0
53.82,0.604040404,0.604242424,0.607373737,0.610505051,0.613636364,0.616767677,0.61989899,0.623030303,0.626161616,0.629292929,0.632424242,0.635555556,0.638686869,0.641818182,0.644713805,0.646383838,0.648053872,0.649723906,0.651393939,0.653063973,0.654734007,0.65640404,0.658211203,0.660033058,0.661854913,0.663676768,0.665498623,0.667320478,0.669142332,0.670964187,0.672781145,0.674451178,0.676121212,0.677791246,0.679461279,0.681131313,0.682801347,0.68447138,0.686141414,0.687811448,0.689435897,0.690977467,0.692519037,0.694060606,0.695602176,0.697143745,0.698685315,0.700226884,0.701768454,0.703310023,0.704851593,0.705843893,0.706754821,0.707665748,0.708576676,0.709487603,0.710398531,0.711309458,0.712220386,0.713131313,0.71396633,0.714801347,0.715636364,0.71647138,0.717306397,0.718141414,0.718976431,0.719811448,0.720646465,n,0
