,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,n,0
0,0,0,1.093278413,1.119462598,1.140242924,1.158030934,1.172721737,1.185825355,1.19742884,1.20850268,1.218698681,1.227832116,1.237200021,1.245898927,1.254249942,1.262162513,1.269635616,1.277150859,1.284730544,1.292056883,1.299530038,1.306392174,1.314040901,1.320879222,1.327996996,1.335891743,1.34349121,1.351281525,1.359946042,1.369865471,1.402377881,0,0,n,0
160,0,0,1.093278413,1.119462598,1.140242924,1.158030934,1.172721737,1.185825355,1.19742884,1.20850268,1.218698681,1.227832116,1.237200021,1.245898927,1.254249942,1.262162513,1.269635616,1.277150859,1.284730544,1.292056883,1.299530038,1.306392174,1.314040901,1.320879222,1.327996996,1.335891743,1.34349121,1.351281525,1.359946042,1.369865471,1.402377881,0,0,n,0
240,0,0,0,0,1.049572445,1.071078336,1.088174705,1.10362732,1.117886299,1.130565326,1.141744278,1.152728667,1.162892747,1.17318015,1.182233467,1.191068464,1.199490497,1.207637765,1.215924849,1.223775099,1.23154669,1.239468765,1.246780502,1.254577409,1.262570053,1.270185727,1.278682803,1.287423299,1.296509687,0,0,0,0,n,0
320,0,0,0,0,0.99082616,1.012939834,1.030793466,1.047288283,1.061637286,1.074332937,1.086196452,1.097243339,1.108224282,1.117820273,1.126733819,1.136118403,1.144995393,1.153467266,1.161526097,1.16953102,1.177776803,1.185681532,1.193148449,1.201051787,1.208962671,1.217286088,1.225317186,1.234474322,1.245001974,0,0,0,0,n,0
