,0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975,1,n,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,0
240,0,0,0,0.840976911,1.044679906,1.099481784,1.132851923,1.157136527,1.176389823,1.192453974,1.206263838,1.218287937,1.229189633,1.239201554,1.248445012,1.257064264,1.265216533,1.272976204,1.280404663,1.287553497,1.29446684,1.301183129,1.30773646,1.314157659,1.320475166,1.326715787,1.332905378,1.339069473,1.345233924,1.351425541,1.357672772,1.36400637,1.370459957,1.37707014,1.383875241,1.390885142,1.398110755,1.405623896,1.413050274,1.419451642,1.438935492,n,0
320,0,0,0,0,0.830715415,1.013572531,1.067906327,1.101462138,1.126067625,1.145085578,1.160202666,1.173671448,1.185841454,1.196967183,1.207239313,1.216804251,1.225776841,1.234248904,1.242295141,1.249977301,1.257347209,1.264448993,1.271320759,1.277995873,1.284503946,1.290871609,1.297123102,1.303280724,1.30936513,1.315395441,1.321389121,1.32736144,1.333324254,1.339283518,1.345234447,1.351152154,1.356973557,1.362562721,1.367647698,1.371725289,1.399627549,n,0
