,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275,0.3,0.325,0.35,0.375,0.4,0.425,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,n,0
0,0,0,0,0,1.108030436,1.126677706,1.142560884,1.156469679,1.16926443,1.181006342,1.191637406,1.202202264,1.211243724,1.220937426,1.229335135,1.237501057,1.244794613,1.253144686,1.261429725,1.268653042,1.276446031,1.283534348,1.291194712,1.298854793,1.30563413,1.313021082,1.321082494,1.329052506,1.337918569,0,0,0,0,n,0
160,0,0,0,0,1.108030436,1.126677706,1.142560884,1.156469679,1.16926443,1.181006342,1.191637406,1.202202264,1.211243724,1.220937426,1.229335135,1.237501057,1.244794613,1.253144686,1.261429725,1.268653042,1.276446031,1.283534348,1.291194712,1.298854793,1.30563413,1.313021082,1.321082494,1.329052506,1.337918569,0,0,0,0,n,0
240,0,0,0,0,0,0,0,0,1.039684757,1.057449871,1.073395713,1.085803558,1.097743705,1.10917744,1.121902216,1.132445682,1.142995227,1.15310002,1.163232957,1.172868308,1.181784862,1.190891435,1.20108237,1.210879388,1.225740325,0,0,0,0,0,0,0,0,n,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n,0
